"Geolocation","Fertilizer Grade","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual"
"....Bulacan","Urea (45-0-0)",385.00,398.00,397.00,384.00,392.00,391.00,384.00,384.00,386.00,390.00,387.00,385.00,388.58
"....Nueva Ecija","Ammophos (16-20-0)",306.00,309.00,306.00,310.00,305.00,316.00,315.00,319.00,325.00,325.00,327.00,324.00,315.58
"....Nueva Ecija","Ammosul (21-0-0)",208.00,209.00,212.00,205.00,205.00,209.00,211.00,212.00,210.00,210.00,214.00,210.00,209.58
"....Nueva Ecija","Complete (14-14-14)",305.00,305.00,305.00,305.00,305.00,320.00,320.00,321.00,320.00,328.00,323.00,325.00,315.17
"....Nueva Ecija","Urea (45-0-0)",360.00,375.00,366.00,350.00,350.00,354.00,360.00,364.00,363.00,359.00,363.00,369.00,361.08
"....Pampanga","Ammophos (16-20-0)",335.00,335.00,335.00,328.00,330.00,328.00,325.00,325.00,325.00,329.00,325.00,325.00,328.75
"....Pampanga","Ammosul (21-0-0)",235.00,235.00,235.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,223.75
"....Pampanga","Complete (14-14-14)",335.00,335.00,330.00,330.00,340.00,332.00,328.00,330.00,330.00,330.00,328.00,330.00,331.50
"....Pampanga","Urea (45-0-0)",380.00,380.00,385.00,378.00,380.00,376.00,370.00,370.00,370.00,371.00,380.00,380.00,376.67
"....Tarlac","Ammophos (16-20-0)",310.00,318.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,319.00,320.00,318.92
"....Tarlac","Ammosul (21-0-0)",220.00,224.00,225.00,225.00,225.00,227.00,229.00,231.00,230.00,230.00,230.00,230.00,227.17
"....Tarlac","Complete (14-14-14)",315.00,323.00,325.00,325.00,325.00,324.00,323.00,330.00,330.00,330.00,330.00,330.00,325.83
"....Tarlac","Urea (45-0-0)",380.00,381.00,380.00,380.00,380.00,384.00,385.00,385.00,385.00,385.00,385.00,385.00,382.92
"....Zambales","Ammophos (16-20-0)",325.00,329.00,330.00,331.00,335.00,335.00,332.00,335.00,335.00,335.00,331.00,330.00,331.92
"....Zambales","Ammosul (21-0-0)",220.00,224.00,225.00,225.00,225.00,225.00,225.00,225.00,224.00,225.00,225.00,225.00,224.42
"....Zambales","Complete (14-14-14)",335.00,338.00,335.00,335.00,340.00,340.00,340.00,340.00,340.00,340.00,332.00,330.00,337.08
"....Zambales","Urea (45-0-0)",380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,380.00,348.00,355.00,375.25
"..REGION IV-A (CALABARZON)","Ammophos (16-20-0)",329.25,309.80,314.60,319.40,322.50,324.75,327.80,327.25,349.38,358.25,355.50,345.00,331.96
"..REGION IV-A (CALABARZON)","Ammosul (21-0-0)",208.20,206.20,218.20,225.60,230.00,232.20,236.80,231.60,244.75,249.50,231.00,226.50,228.38
"..REGION IV-A (CALABARZON)","Complete (14-14-14)",337.00,334.40,340.60,343.60,345.00,348.60,346.00,343.80,349.00,353.20,355.60,349.80,345.55
"..REGION IV-A (CALABARZON)","Urea (45-0-0)",360.00,363.80,374.40,384.00,386.00,390.60,394.80,394.00,394.60,390.00,386.80,383.00,383.50
"....Batangas","Ammophos (16-20-0)",330.00,330.00,330.00,318.00,..,..,320.00,..,..,..,..,..,325.60
"....Batangas","Ammosul (21-0-0)",200.00,200.00,204.00,215.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,220.00,214.92
"....Batangas","Complete (14-14-14)",335.00,335.00,332.00,320.00,320.00,320.00,320.00,320.00,320.00,320.00,344.00,350.00,328.00
"....Batangas","Urea (45-0-0)",375.00,375.00,373.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,365.00,367.33
"....Cavite","Ammophos (16-20-0)",335.00,340.00,350.00,350.00,340.00,340.00,340.00,350.00,347.50,350.00,350.00,355.00,345.63
"....Cavite","Ammosul (21-0-0)",208.00,195.00,190.00,190.00,190.00,190.00,190.00,190.00,..,..,..,..,192.88
"....Cavite","Complete (14-14-14)",345.00,350.00,360.00,360.00,355.00,350.00,350.00,358.00,360.00,358.00,360.00,355.00,355.08
"....Cavite","Urea (45-0-0)",405.00,410.00,410.00,415.00,400.00,406.00,410.00,420.00,420.00,420.00,420.00,420.00,413.00
"....Laguna","Ammophos (16-20-0)",..,225.00,230.00,241.00,250.00,250.00,250.00,271.00,335.00,335.00,335.00,335.00,277.91
"....Laguna","Ammosul (21-0-0)",243.00,231.00,230.00,241.00,250.00,250.00,250.00,242.00,229.00,225.00,221.00,220.00,236.00
"....Laguna","Complete (14-14-14)",350.00,332.00,338.00,350.00,350.00,350.00,350.00,352.00,357.50,360.00,360.00,360.00,350.79
"....Laguna","Urea (45-0-0)",400.00,385.00,394.00,413.00,420.00,416.00,420.00,418.00,410.00,380.00,380.00,375.00,400.92
"....Quezon","Ammophos (16-20-0)",320.00,322.00,336.00,363.00,375.00,384.00,390.00,350.00,380.00,413.00,402.00,350.00,365.42
"....Quezon","Ammosul (21-0-0)",170.00,185.00,242.00,248.00,260.00,276.00,295.00,280.00,300.00,323.00,253.00,231.00,255.25
"....Quezon","Complete (14-14-14)",325.00,325.00,341.00,358.00,370.00,383.00,371.00,350.00,367.50,388.00,374.00,340.00,357.71
"....Quezon","Urea (45-0-0)",240.00,269.00,316.00,348.00,360.00,376.00,390.00,380.00,390.00,400.00,384.00,369.00,351.83
