"Type of Valuation","Subsector","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006","2006-2007","2007-2008","2008-2009","2009-2010","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","2015-2016","2016-2017","2017-2018","2018-2019","2019-2020","2020-2021","2021-2022"
"Constant 2018 Prices","..Yellowfin tuna (Tambakol/Bariles)",.,.,58.1,-28.7,39.5,-14.4,11.3,-20.8,-41.2,57.1,-14.2,-21.1,70.7,-39.2,-18.8,13.4,52.4,-23.5,0.8,-44.1,-10.2,205.9
"Constant 2018 Prices","..Big-eyed scad (Matangbaka)",.,.,-8.1,0.0,-39.2,-5.0,23.7,-13.8,-16.8,56.7,13.9,5.3,-36.0,-31.6,4.8,16.7,42.7,-9.3,-30.6,2.4,13.0,188.2
"Constant 2018 Prices","..Frigate tuna (Tulingan)",.,.,-18.3,2.6,-0.3,-9.0,49.4,-11.9,-13.5,-16.6,0.6,39.2,8.4,-34.8,23.1,25.7,7.1,-6.1,-21.7,-17.6,8.1,35.8
"Constant 2018 Prices","..Skipjack (Gulyasan)",.,.,-15.7,3.3,108.1,-44.7,117.9,-16.5,-30.4,-4.5,4.5,-9.0,-36.8,6.7,49.2,-3.9,23.9,9.1,-13.4,-40.8,6.4,438.3
"Constant 2018 Prices","..Tilapia",.,.,1.1,1.6,14.6,8.6,13.7,-7.0,0.9,46.9,28.1,53.6,-0.9,-5.1,0.8,-18.1,-6.4,-11.5,19.0,15.8,20.4,-65.0
"Constant 2018 Prices","..Roundscad (Galunggong)",.,.,11.3,-0.4,-33.6,44.0,16.2,14.0,-46.3,0.2,-10.8,4.0,-4.5,-31.3,-13.3,7.1,38.6,-46.4,-30.1,27.5,4.4,43.4
"Constant 2018 Prices","..Squid (Pusit)",.,.,-9.2,2.8,104.7,32.3,34.4,-18.7,-22.7,43.4,5.6,-0.5,-55.6,2.1,26.6,22.9,4.9,-21.7,96.5,-57.2,69.8,184.0
"Constant 2018 Prices","..P. vannamei",.,.,..,..,..,..,..,..,..,..,-42.0,50.9,30.6,108.2,-38.6,48.8,7.9,4.8,66.7,68.1,32.8,-25.9
"Constant 2018 Prices","..Catfish (Hito/Kanduli)",.,.,0.9,-24.1,2.6,23.1,55.3,23.3,35.0,20.9,-22.3,4.4,-7.4,15.9,7.3,19.3,1.9,34.8,-0.8,33.6,26.4,-28.0
"Constant 2018 Prices","..Eastern little tuna (Bonito)",.,.,-85.8,9.5,448.8,-2.3,91.9,24.4,-38.8,25.6,-31.6,-16.9,-9.8,32.6,33.0,59.1,42.8,-40.2,10.1,-4.0,-39.4,-22.6
"Constant 2018 Prices","..Siganid (Samaral)",.,.,81.0,12.9,142.8,108.1,15.7,27.4,-29.5,20.6,-35.5,-21.6,51.7,-22.4,-35.4,-24.7,70.9,12.1,-40.3,-17.6,-3.3,73.5
"Constant 2018 Prices","..Anchovies (Dilis)",.,.,0.4,-0.7,26.8,70.8,-0.8,-1.9,65.2,-37.0,-16.7,81.1,-24.5,-17.9,1.4,-40.0,-25.1,160.9,-87.0,0.9,-31.7,313.1
"Constant 2018 Prices","..Parrot fish (Loro)",.,.,-2.9,0.7,-3.0,19.8,-38.3,4.1,92.5,4.6,-37.0,-8.7,-37.7,-19.9,-34.0,4.9,298.8,-23.1,-62.5,-24.1,-18.9,165.1
"Constant 2018 Prices","..Bigeye tuna (Tambakol/Bariles)",.,.,58.1,-28.7,39.5,35.6,-19.2,-27.9,-14.9,-38.6,2.9,-1.0,73.2,10.5,-22.8,-23.9,-41.6,-36.0,108.9,-76.4,-90.7,1247.6
"Constant 2018 Prices","..Goatfish (Saramulyete)",.,.,1.8,-2.8,75.8,122.8,49.5,-25.6,39.4,-13.0,-3.7,-46.8,12.2,-25.5,-48.2,-21.0,89.6,-0.5,-40.3,-24.4,-52.6,364.8
"Constant 2018 Prices","..Cavalla (Talakitok)",.,.,-43.4,-15.1,151.3,6.5,29.8,-24.0,-25.4,148.9,-8.2,-23.6,-40.8,7.5,17.9,-11.2,-11.4,-7.1,18.2,44.4,-5.8,55.3
"Constant 2018 Prices","..Indian mackerel (Alumahan)",.,.,-31.4,-0.1,116.8,94.8,9.1,-17.0,-10.0,-11.3,33.5,-31.9,-55.5,-41.9,51.7,-33.4,45.4,-34.8,-15.3,31.0,27.5,90.4
"Constant 2018 Prices","..Seaweed",.,.,83.4,80.0,58.0,21.7,-1.8,21.5,65.4,-31.2,-30.8,-6.3,90.3,62.9,39.6,-8.7,-13.2,4.3,-15.1,-46.6,-85.1,426.6
"Constant 2018 Prices","..Bali sardinella (Tamban)",.,.,91.6,-7.7,29.5,-48.5,46.4,-21.0,-58.6,32.7,-17.4,-15.9,83.0,-42.3,16.6,17.2,-23.4,-59.9,-66.9,72.1,-21.6,-14.1
"Constant 2018 Prices","..Other Fisheries",.,.,-19.2,-3.4,-0.6,9.6,-11.1,0.7,0.6,0.4,-13.0,-17.5,21.9,-20.7,0.1,13.1,-13.7,-17.2,18.9,-0.8,-0.3,88.0
"Constant 2018 Prices","AGRICULTURE",.,.,3.1,4.2,6.4,4.9,2.0,4.7,1.9,0.2,0.8,0.7,-10.1,3.3,1.4,-1.5,1.6,2.2,-2.0,-1.9,-0.9,3.4
