"Geolocation","Fertilizer Grade","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"....Tarlac","Ammosul (21-0-0)",520.00,520.00,520.00,520.00,520.00,480.00,440.00,420.00,420.00,420.00,435.00,500.00,476.25
"....Tarlac","Complete (14-14-14)",1030.00,1030.00,1025.00,1020.00,1020.00,977.50,920.00,920.00,915.00,910.00,950.00,1010.00,977.29
"....Tarlac","Urea (45-0-0)",950.00,950.00,980.00,950.00,975.00,872.50,800.00,807.50,810.00,810.00,865.00,1025.00,899.58
"....Zambales","Ammophos (16-20-0)",985.00,981.25,982.50,972.00,920.00,913.75,905.00,902.50,902.50,905.00,911.25,917.50,933.19
"....Zambales","Ammosul (21-0-0)",502.60,503.25,505.00,505.00,518.75,511.25,502.00,497.50,487.50,498.00,502.50,513.75,503.93
"....Zambales","Complete (14-14-14)",1087.00,1086.25,1073.75,1079.00,1090.00,1072.50,1054.00,1030.00,997.50,999.00,1000.00,1002.50,1047.63
"....Zambales","Urea (45-0-0)",997.00,1040.00,1036.25,1018.00,1000.00,978.75,910.00,865.00,855.00,851.00,852.50,867.50,939.25
"..REGION IV-A (CALABARZON)","Ammophos (16-20-0)",1049.33,1025.00,1008.33,1013.33,1014.17,1005.83,994.67,990.00,990.00,994.00,996.67,1020.83,1008.51
"..REGION IV-A (CALABARZON)","Ammosul (21-0-0)",657.20,646.50,635.00,626.00,575.00,569.00,562.40,557.50,604.50,623.60,632.00,631.50,610.02
"..REGION IV-A (CALABARZON)","Complete (14-14-14)",1145.60,1131.00,1122.50,1120.00,1127.50,1125.00,1106.20,1078.50,1083.50,1092.20,1095.50,1091.50,1109.92
"..REGION IV-A (CALABARZON)","Urea (45-0-0)",981.20,987.50,987.00,990.40,996.00,986.00,958.80,940.00,917.50,926.80,990.50,1016.50,973.18
"....Batangas","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Batangas","Ammosul (21-0-0)",700.00,675.00,650.00,630.00,575.00,550.00,520.00,500.00,500.00,524.00,540.00,540.00,575.33
"....Batangas","Complete (14-14-14)",1170.00,1135.00,1100.00,1100.00,1100.00,1100.00,1055.00,1025.00,1025.00,1069.00,1075.00,1060.00,1084.50
"....Batangas","Urea (45-0-0)",960.00,965.00,950.00,962.00,980.00,980.00,932.00,900.00,900.00,900.00,950.00,950.00,944.08
"....Cavite","Ammophos (16-20-0)",1058.00,1050.00,1025.00,1040.00,1062.50,1037.50,1020.00,1000.00,1000.00,1000.00,1000.00,1050.00,1028.58
"....Cavite","Ammosul (21-0-0)",600.00,600.00,587.50,600.00,600.00,600.00,600.00,550.00,550.00,570.00,600.00,600.00,588.13
"....Cavite","Complete (14-14-14)",1200.00,1200.00,1212.50,1200.00,1237.50,1225.00,1200.00,1097.50,1122.50,1110.00,1112.50,1100.00,1168.13
"....Cavite","Urea (45-0-0)",1000.00,1000.00,1000.00,1020.00,1050.00,1015.00,962.00,900.00,900.00,940.00,1037.50,1075.00,991.63
"....Laguna","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Laguna","Ammosul (21-0-0)",696.00,657.50,637.50,600.00,600.00,600.00,610.00,600.00,810.00,862.00,850.00,850.00,697.75
"....Laguna","Complete (14-14-14)",1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00
"....Laguna","Urea (45-0-0)",956.00,967.50,980.00,950.00,950.00,950.00,950.00,950.00,837.50,832.00,980.00,980.00,940.25
"....Quezon","Ammophos (16-20-0)",1100.00,1025.00,1000.00,1000.00,980.00,980.00,964.00,970.00,970.00,982.00,990.00,1012.50,997.79
"....Quezon","Ammosul (21-0-0)",740.00,750.00,750.00,750.00,550.00,545.00,532.00,550.00,550.00,562.00,570.00,567.50,618.04
"....Quezon","Complete (14-14-14)",1168.00,1120.00,1100.00,1100.00,1100.00,1100.00,1076.00,1070.00,1070.00,1082.00,1090.00,1097.50,1097.79
"....Quezon","Urea (45-0-0)",1020.00,1005.00,1000.00,1000.00,980.00,965.00,930.00,930.00,930.00,942.00,965.00,1057.50,977.04
"....Rizal","Ammophos (16-20-0)",990.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,999.17
"....Rizal","Ammosul (21-0-0)",550.00,550.00,550.00,550.00,550.00,550.00,550.00,587.50,612.50,600.00,600.00,600.00,570.83
"....Rizal","Complete (14-14-14)",1090.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1099.17
"....Rizal","Urea (45-0-0)",970.00,1000.00,1005.00,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,1020.00,1012.92
