"Fruits: Average Production Costs and Returns by Commodity, Item and Year by Commodity, Item and Year"

"Commodity","Item","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Mango","..Landlord's share",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Electric bill",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Others",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","NON-CASH COSTS",3256,3583,4200,3928,3256,3136,3035,3151,3701,3822,3872,3960,4394,4278,4260,4394,4444,4484,4829,4924,5845,6941,6848,7107,7322,7832
"Mango","..Seeds paid in kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Hired labor paid in kind",319,356,395,424,428,428,442,458,478,506,527,548,555,573,588,615,656,692,739,794,818,831,908,981,1036,1096
"Mango","..Wages for overseer paid in kind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Rentals paid in kind",63,70,73,78,79,79,82,85,89,94,98,102,103,106,109,114,122,129,138,148,152,155,169,183,193,204
"Mango","..Landlord's share paid in kind",2164,2305,2750,2624,2099,2003,1919,1985,2418,2494,2576,2605,3036,3000,2939,3041,3059,3023,3215,3228,4024,4991,4863,4982,5108,5468
"Mango","..Harvester's share",710,852,982,802,650,626,592,623,716,728,671,705,700,599,624,624,607,640,737,754,850,964,908,960,985,1064
"Mango","..Lease rental",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","IMPUTED COSTS",9862,9477,10490,11066,9752,10443,10775,11667,12935,13958,14658,15284,16758,17916,18728,20034,21070,22540,24236,26143,28464,30951,33626,36926,39656,43300
"Mango","..Operator and family labor",2838,2649,2873,3087,2638,2639,3219,3381,3525,3730,3887,4041,4091,4550,4666,5014,5198,5481,5856,6291,6482,6584,7193,7776,8207,8687
"Mango","..Exchange labor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mango","..Depreciation",2555,2811,3092,3401,3741,4115,4527,4980,5478,6026,6629,7292,8021,8823,9705,10676,11744,12918,14210,15631,17194,18914,20805,22885,25174,27691
"Mango","..Interest on operating capital",2929,2377,2568,2711,1879,2263,1663,1893,2211,2427,2309,2098,2487,2409,2266,2180,1951,1989,1881,1923,1923,1900,2167,2719,2639,3029
"Mango","..Rental value of owned land",1540,1640,1957,1867,1494,1426,1366,1413,1721,1775,1833,1853,2159,2134,2091,2164,2177,2152,2289,2298,2865,3553,3462,3547,3636,3892
"Mango","ALL COSTS",35341,32071,35193,36549,34885,36585,37327,39824,44065,47602,48572,49909,56676,57551,60159,65403,68529,70344,72322,74880,78137,81994,86686,93774,95969,106324
"Mango","GROSS RETURNS",137709,165187,184099,150370,112155,108589,102712,108009,124053,126078,116192,122020,121070,103648,107972,107979,104976,110685,127506,130363,147009,166676,156952,166052,170386,183879
"Mango","RETURNS ABOVE CASH COSTS",115486,146176,163596,128815,90278,85583,79195,83003,96624,96256,86150,91355,85546,68291,70801,67004,61961,67365,84249,86550,103181,122574,110739,116311,121394,128686
"Mango","RETURNS ABOVE CASH & NON-CASH COSTS",112230,142593,159396,124887,87022,82447,76160,79852,92923,92434,82278,87395,81152,64013,66541,62610,57517,62881,79420,81626,97337,115633,103892,109204,114072,120855
"Mango","NET RETURNS",102368,133116,148906,113821,77270,72004,65385,68185,79988,78476,67620,72111,64394,46097,47813,42576,36447,40341,55184,55483,68872,84682,70266,72278,74417,77555
"Mango","NET PROFIT- COST RATIO",2.90,4.15,4.23,3.11,2.21,1.97,1.75,1.71,1.82,1.65,1.39,1.44,1.14,0.80,0.79,0.65,0.53,0.57,0.76,0.74,0.88,1.03,0.81,0.77,0.78,0.73
"Mango","Cost per kilogram (pesos)",4.89,3.77,4.43,5.37,5.50,5.69,5.88,6.17,7.24,7.94,9.08,8.98,11.97,14.04,13.80,15.52,16.83,16.19,15.37,15.63,18.03,20.70,22.64,23.71,24.25,26.65
"Mango","Yield per hectare (kg)",7225,8506,7949,6801,6340,6433,6352,6456,6087,5998,5352,5559,4733,4100,4359,4213,4072,4344,4705,4791,4334,3962,3829,3954,3957,3990
"Mango","Farmgate price (pesos/kg)",19.06,19.42,23.16,22.11,17.69,16.88,16.17,16.73,20.38,21.02,21.71,21.95,25.58,25.28,24.77,25.63,25.78,25.48,27.10,27.21,33.92,42.07,40.99,41.99,43.05,46.09
"Papaya","CASH COSTS",..,..,41846,50948,53406,57295,57951,64016,73797,84335,86124,89416,103689,91239,91317,100898,107028,108090,109598,111692,111743,113348,124397,132392,134341,148227
"Papaya","..Seeds/Planting materials",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya","..Fertilizer",..,..,11203,12589,13549,16136,15916,19890,26914,33475,33254,35287,44952,31314,29053,33722,36268,34288,31199,30435,28897,27878,29564,31278,29591,36261
"Papaya","..Pesticides",..,..,4329,4837,4981,5187,5261,5272,5292,5280,5035,4790,4785,4528,4607,4510,4529,4476,4480,4451,4471,4372,4201,4855,4525,4960
"Papaya","..Other material inputs",..,..,3,3,3,6,6,7,9,11,11,12,15,10,9,10,12,11,10,10,10,9,10,10,10,12
"Papaya","..Hired labor",..,..,12179,19542,19762,19770,20379,21400,22316,23614,24609,25578,27895,28803,29535,30866,32908,34698,37071,39822,41032,41744,45602,49297,52033,55077
"Papaya","..Wages for overseer",..,..,69,74,75,75,77,80,83,88,92,96,97,100,103,108,115,121,129,138,142,144,158,170,180,190
"Papaya","..Land tax",..,..,261,264,267,270,273,276,279,282,285,288,291,294,297,300,303,306,309,311,314,317,320,323,327,330
"Papaya","..Rentals",..,..,3887,3034,2953,2919,2738,2878,3138,3606,3180,2898,2642,3295,2783,4002,3878,4024,4716,4797,4522,4400,7297,7502,7155,7675
"Papaya","..Water/electric bills",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya","..Fuel and oil",..,..,3081,3347,3910,4297,4301,4731,5360,6302,6857,7083,8289,7652,8670,9780,10406,10583,10900,9938,9521,10042,10740,10823,10511,11073
"Papaya","..Transport of inputs",..,..,2105,2247,2580,2879,2908,3009,3391,4013,4523,4546,5031,4792,5056,5496,5621,5655,5709,5703,5625,5907,6296,6362,6566,7202
"Papaya","..Irrigation fee",..,..,78,56,54,53,48,51,57,67,56,48,41,56,43,71,66,68,83,79,72,69,132,134,124,134
"Papaya","..Interest payment on crop loan",..,..,2128,2341,2575,2833,3116,3428,3771,4148,4563,5019,5521,6073,6680,7348,8083,8891,9780,10756,11832,13015,14316,15748,17323,19055
"Papaya","..Food expense",..,..,912,953,967,1012,1033,1056,1122,1195,1262,1303,1480,1568,1617,1683,1721,1769,1893,1945,1978,2041,2176,2215,2276,2401
"Papaya","..Repairs",..,..,731,745,774,819,831,837,900,968,1020,1053,1138,1205,1225,1254,1304,1347,1395,1420,1446,1464,1499,1546,1576,1609
"Papaya","..Landlord's share",..,..,37,27,26,26,24,25,28,33,27,23,20,27,21,35,33,34,41,40,36,34,66,67,62,67
"Papaya","..Electric bill",..,..,208,216,230,265,270,279,293,344,383,398,403,398,451,509,542,543,555,506,485,511,547,551,535,564
"Papaya","..Others",..,..,635,673,700,748,770,797,844,909,967,994,1089,1124,1167,1204,1239,1276,1328,1344,1361,1400,1473,1509,1548,1617
"Papaya","NON-CASH COSTS",..,..,199,167,165,165,152,160,176,205,183,167,155,197,161,236,230,241,254,254,235,230,390,398,377,406
"Papaya","..Seeds paid in kind",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya","..Hired labor paid in kind",..,..,21,34,34,34,35,36,38,40,42,44,45,46,47,49,52,55,59,63,65,66,72,77,82,87
"Papaya","..Wages for overseer paid in kind",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya","..Rentals paid in kind",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya","..Landlord's share paid in kind",..,..,136,98,94,93,84,89,99,117,97,83,72,99,76,126,118,122,148,146,133,126,244,247,228,246
"Papaya","..Harvester's share",..,..,42,35,37,38,33,35,39,48,44,40,38,52,38,61,60,64,47,45,38,38,74,74,67,74
"Papaya","..Lease rental",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya","IMPUTED COSTS",..,..,13641,16922,15555,16912,16027,17640,19721,21873,22293,22701,24557,25491,25650,27758,29017,31024,33439,35877,37867,39970,45893,50599,53798,58620
"Papaya","..Operator and family labor",..,..,3177,5274,5324,5326,5499,5775,6022,6373,6641,6903,6988,7773,7971,8330,8881,9364,10004,10746,11073,11265,12306,13304,14042,14863
"Papaya","..Exchange labor",..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaya","..Depreciation",..,..,3673,4040,4444,4888,5377,5915,6507,7158,7874,8661,9527,10480,11528,12681,13949,15344,16878,18563,20419,22461,24707,27178,29896,32885
"Papaya","..Interest on operating capital",..,..,4434,5915,4159,5096,3699,4415,5491,6332,6108,5700,6802,5541,4848,4582,4165,4232,4024,4169,4197,4166,4873,6055,6106,6826
"Papaya","..Rental value of owned land",..,..,2357,1693,1628,1602,1452,1535,1701,2010,1670,1437,1240,1697,1303,2165,2022,2084,2533,2398,2177,2077,4007,4062,3755,4046
"Papaya","ALL COSTS",..,..,55686,68037,69126,74372,74130,81816,93694,106413,108600,112284,128401,116927,117128,128892,136275,139355,143291,147823,149845,153548,170680,183390,188517,207253
"Papaya","GROSS RETURNS",..,..,97481,82265,90262,93769,81614,87267,97921,120133,109036,99709,95285,129754,95214,152297,149661,159050,212797,206127,174170,171884,335851,334924,303900,334140
"Papaya","RETURNS ABOVE CASH COSTS",..,..,55635,31317,36856,36474,23663,23251,24124,35798,22912,10293,-8404,38515,3897,51399,42633,50960,103199,94435,62427,58536,211454,202532,169559,185913
"Papaya","RETURNS ABOVE CASH & NON-CASH COSTS",..,..,55436,31150,36691,36309,23511,23091,23948,35593,22729,10126,-8559,38318,3736,51163,42403,50719,102945,94181,62192,58306,211065,202134,169181,185507
"Papaya","NET RETURNS",..,..,41795,14228,21136,19397,7484,5451,4227,13720,436,-12575,-33116,12827,-21914,23405,13386,19695,69506,58304,24325,18336,165172,151535,115383,126887
