Crop,Geolocation,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 Annual,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 Annual,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 Annual,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 Annual,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 Annual,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 Annual,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 Annual,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 Annual,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 Annual,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 Annual,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual
Coffee Robusta (green coffee beans),..REGION VIII (EASTERN VISAYAS),3.72,18.48,0.22,3.86,26.28,0.81,5.84,0.22,3.57,10.43,0.55,5.35,0.21,5.13,11.24,1.26,6.44,0.2,5.07,12.96,1.1,4.45,0.54,5.23,11.31,1.05,4.48,0.56,4.72,10.81,1.27,4.22,0.4,5.19,11.07,1.49,4.32,0.64,4.95,11.39,1.51,4.22,0.5,4.71,10.93,1.39,4.46,0.45,4.37,10.67,1.12,2.68,1.35,5.43,10.58
Coffee Robusta (green coffee beans),..REGION IX (ZAMBOANGA PENINSULA),31.8,49.52,46.75,93.36,221.43,30.89,51.67,47.93,95.79,226.27,31.83,53.36,48.2,101.75,235.13,29.41,50.27,44.49,63.7,187.87,28.0,41.52,32.4,54.41,156.32,32.66,35.43,37.01,55.51,160.6,31.32,27.95,39.31,58.67,157.25,29.41,26.96,52.44,65.99,174.79,30.26,29.99,30.83,59.42,150.5,18.24,34.0,9.22,54.9,116.36,14.11,17.13,6.56,49.16,86.96
Coffee Robusta (green coffee beans),..REGION X (NORTHERN MINDANAO),832.05,126.49,266.43,1103.95,2328.92,880.55,127.98,271.51,1107.35,2387.38,882.18,126.85,276.52,1121.85,2407.39,929.65,130.74,284.03,1157.43,2501.84,948.78,137.24,299.29,1180.96,2566.27,980.89,140.5,305.63,1193.43,2620.44,993.4,146.96,315.87,1225.31,2681.54,995.49,145.78,327.34,1096.9,2565.5,1326.14,157.16,309.22,1086.77,2879.29,1293.21,152.33,283.37,1147.77,2876.68,1235.07,151.28,375.31,1174.45,2936.11
Coffee Robusta (green coffee beans),..REGION XI (DAVAO REGION),979.71,553.4,926.23,1701.06,4160.4,977.47,522.06,690.39,1734.87,3924.78,979.79,487.98,680.75,1749.34,3897.85,966.77,479.68,674.95,1717.98,3839.37,918.43,452.46,617.84,1664.24,3652.96,884.65,447.51,598.51,1748.28,3678.93,872.21,437.46,582.7,1763.2,3655.57,876.0,437.61,566.35,1776.85,3656.81,864.27,425.14,570.97,1799.13,3659.51,853.44,412.57,559.34,1727.19,3552.53,836.07,419.39,546.1,1849.97,3651.53
Coffee Robusta (green coffee beans),..REGION XII (SOCCSKSARGEN),2231.66,1304.47,590.94,4018.76,8145.84,2198.89,1294.95,585.11,3819.32,7898.26,1964.03,1214.37,591.97,3877.68,7648.05,1971.3,808.45,428.26,3806.47,7014.47,2137.54,696.3,361.67,3290.43,6485.93,1486.07,583.76,370.36,3287.31,5727.49,1418.25,544.89,336.19,3578.43,5877.76,1351.51,501.69,341.3,3976.91,6171.41,2152.05,458.88,293.78,3558.78,6463.5,1847.07,370.38,345.53,4335.85,6898.83,2040.25,375.02,446.8,4933.68,7795.75
Coffee Robusta (green coffee beans),..REGION XIII (CARAGA),23.13,127.09,320.0,273.32,743.53,4.65,130.18,293.92,270.63,699.38,5.24,122.29,354.27,338.65,820.44,4.74,117.65,388.08,404.6,915.06,6.23,66.96,369.32,347.88,790.38,5.42,71.53,375.34,378.99,831.27,7.41,72.8,409.47,396.93,886.6,15.27,77.88,333.49,383.77,810.4,16.47,57.63,329.25,386.55,789.9,13.32,56.49,263.05,342.84,675.69,12.37,68.0,120.23,241.04,441.64
Coffee Robusta (green coffee beans),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),587.94,423.75,203.65,2428.08,3643.42,581.48,409.55,203.78,2397.5,3592.3,597.82,414.26,194.5,2448.53,3655.1,572.68,408.77,190.27,2430.27,3601.98,565.12,359.39,190.78,2384.05,3499.33,622.66,364.09,210.1,2418.45,3615.29,598.5,355.93,211.23,2560.0,3725.65,601.0,357.31,210.61,2619.59,3788.51,517.7,360.49,211.77,2660.3,3750.26,526.16,366.93,213.63,2642.91,3749.62,531.11,409.8,208.09,2148.06,3297.06
Coffee Others (green coffee beans),PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION II (CAGAYAN VALLEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION III (CENTRAL LUZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION IV-A (CALABARZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..MIMAROPA REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION V (BICOL REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION VI (WESTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION VII (CENTRAL VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION VIII (EASTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION IX (ZAMBOANGA PENINSULA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION X (NORTHERN MINDANAO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION XI (DAVAO REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION XII (SOCCSKSARGEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..REGION XIII (CARAGA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee Others (green coffee beans),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),PHILIPPINES,66533.51,114564.5,99078.25,164641.44,444817.7,66617.77,120768.7,104377.98,161288.03,453052.48,52217.11,119537.22,97903.34,128478.95,398136.64,38486.57,105384.71,91815.47,126939.22,362625.97,45371.76,117681.24,105692.44,138239.01,406984.45,47361.86,120328.42,112958.74,142721.88,423370.9,45735.59,125368.7,108775.56,151794.91,431674.76,45754.9,116935.4,104433.03,155283.77,422407.1,47488.13,123819.09,107132.51,152196.01,430635.74,47336.75,123112.12,106777.85,138522.92,415749.65,44823.11,112592.35,93235.46,128167.2,378818.13
Rubber (coagulated cup lump),..CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION II (CAGAYAN VALLEY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION III (CENTRAL LUZON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION IV-A (CALABARZON),9.38,22.66,21.32,19.0,72.36,23.4,20.2,10.35,10.0,63.95,5.85,9.85,9.41,9.6,34.71,6.14,9.9,10.0,9.18,35.22,7.68,0.8,3.83,9.0,21.31,,0.8,3.5,8.9,13.2,,0.7,3.24,8.8,12.74,,0.69,3.21,8.5,12.4,3.0,0.68,3.19,8.4,15.27,1.95,0.66,3.15,8.12,13.88,1.85,0.65,3.13,7.32,12.95
Rubber (coagulated cup lump),..MIMAROPA REGION,12.33,13.78,11.81,21.34,59.26,24.85,21.07,26.22,29.96,102.1,27.14,32.95,27.35,30.25,117.69,27.96,29.5,33.15,31.57,122.18,29.09,36.32,34.69,32.28,132.38,30.99,38.02,36.95,33.93,139.89,32.78,36.65,39.63,35.96,145.02,28.48,38.82,40.97,38.52,146.79,30.69,40.43,56.49,35.2,162.81,29.59,41.79,59.66,31.12,162.16,21.89,18.23,56.2,9.34,105.66
Rubber (coagulated cup lump),..REGION V (BICOL REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION VI (WESTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubber (coagulated cup lump),..REGION VII (CENTRAL VISAYAS),2.31,,,6.85,9.16,2.73,8.0,0.2,7.23,18.16,10.0,8.29,9.23,6.67,34.19,11.96,11.0,10.5,5.12,38.58,7.26,14.1,7.86,3.94,33.16,3.64,11.2,8.25,7.35,30.44,6.3,3.75,12.73,15.0,37.78,,,17.46,31.32,48.78,9.38,1.45,24.22,39.38,74.43,11.66,1.05,28.61,35.13,76.45,31.1,1.44,,27.07,59.61
Rubber (coagulated cup lump),..REGION VIII (EASTERN VISAYAS),,,,,,,,,,,,,,,,,,,,,,,6.0,6.2,12.2,6.32,6.4,6.12,6.5,25.34,6.55,8.0,6.15,6.68,27.38,6.6,7.3,5.6,5.8,25.3,5.6,7.0,5.45,5.2,23.25,2.48,3.3,2.3,4.5,12.58,3.54,4.16,2.95,5.31,15.96
Rubber (coagulated cup lump),..REGION IX (ZAMBOANGA PENINSULA),24555.72,43966.15,42148.37,84686.79,195357.03,25383.15,44087.28,43875.64,78263.75,191609.82,25165.59,44009.44,40077.36,67519.53,176771.93,17711.47,43697.81,39053.94,63950.64,164413.87,16922.15,41675.22,38096.23,59025.31,155718.9,17347.74,41246.76,39819.58,59079.28,157493.37,17860.65,43817.51,41812.42,58339.53,161830.12,18295.2,42373.39,43523.39,61503.41,165695.39,19287.07,48377.01,40079.54,57691.09,165434.71,19202.18,46447.14,39925.91,57000.16,162575.39,18230.84,42234.49,38271.87,58896.17,157633.37
Rubber (coagulated cup lump),..REGION X (NORTHERN MINDANAO),719.03,3182.45,2563.17,4796.35,11261.0,794.39,3322.07,2744.22,5011.92,11872.6,827.45,3305.43,2873.77,5135.25,12141.9,800.59,3193.57,3017.46,5390.55,12402.17,852.7,3449.38,3166.46,5495.55,12964.09,901.1,3570.25,3301.38,5605.07,13377.8,918.33,3684.96,3423.61,5733.7,13760.6,914.77,3402.37,3055.63,5043.0,12415.77,1022.44,2977.97,3412.83,4326.85,11740.09,930.92,2752.43,2926.17,3638.73,10248.25,876.6,2631.85,2765.34,3875.16,10148.95
Rubber (coagulated cup lump),..REGION XI (DAVAO REGION),1647.46,2116.89,2420.21,2056.24,8240.8,1797.42,2252.93,3985.48,2813.11,10848.94,1847.35,2465.82,4167.44,2926.26,11406.87,1724.24,2366.1,4111.37,2826.44,11028.15,1813.22,2120.6,4270.79,2982.81,11187.42,1866.14,2214.17,4259.8,3123.24,11463.35,1866.84,2211.25,4515.93,3171.85,11765.87,1989.6,2248.84,4762.08,3104.73,12105.25,2028.0,2193.9,4641.18,3651.77,12514.85,2045.49,2229.05,4507.91,3637.25,12419.7,2047.56,2216.95,4341.81,3700.21,12306.52
Rubber (coagulated cup lump),..REGION XII (SOCCSKSARGEN),35942.36,37006.4,36970.83,63034.33,172953.92,33232.5,38083.67,38017.23,64643.11,173976.51,19451.79,32307.82,33722.82,40781.75,126264.18,13248.58,20940.78,26911.35,41275.76,102376.47,20265.76,30270.21,39211.5,57732.53,147480.0,21259.99,31246.67,41241.05,60924.25,154671.96,19290.57,29173.61,33936.7,70323.61,152724.49,18700.85,19394.12,27822.06,70809.12,136726.15,19636.81,20404.23,33101.18,71272.36,144414.58,19857.96,21978.1,33535.14,59015.96,134387.16,18741.99,17910.13,27323.71,47735.18,111711.01
Rubber (coagulated cup lump),..REGION XIII (CARAGA),1744.92,2986.83,3074.04,2225.05,10030.83,1976.44,3818.48,2689.09,2025.06,10509.08,1827.94,3908.62,3095.47,3173.98,12006.01,2085.63,3990.05,3403.11,3366.45,12845.24,2348.9,4366.96,3850.49,3626.39,14192.74,2582.13,4475.62,4204.41,4354.36,15616.52,2397.86,5126.68,4800.89,4425.67,16751.1,2467.55,5340.08,4864.65,4956.15,17628.43,2367.83,5041.97,5316.94,5351.49,18078.23,2108.3,4568.41,5502.88,5305.15,17484.74,2106.9,4425.69,4167.27,5262.94,15962.8
Rubber (coagulated cup lump),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),1900.0,25269.34,11868.5,7795.5,46833.34,3382.89,29155.0,13029.55,8483.89,54051.33,3054.0,33489.0,13920.5,8895.66,59359.16,2870.0,31146.0,15264.59,10083.5,59364.09,3125.0,35747.65,17044.6,9325.0,65242.25,3363.8,37518.54,20077.7,9579.0,70539.04,3355.71,41305.59,20224.26,9734.1,74619.66,3351.85,44129.79,20337.98,9783.22,77602.84,3097.31,44774.45,20491.5,9814.27,78177.53,3146.22,45090.19,20286.12,9846.8,78369.33,2760.84,43148.77,16303.18,8648.5,70861.29
Sugarcane,PHILIPPINES,11680585.55,3036506.1,1161508.99,8706240.86,24584841.5,12301042.69,3168015.5,1535478.39,8025343.43,25029880.01,11946129.53,2682533.91,893515.28,7404258.62,22926437.34,12207800.5,3393053.71,479004.0,6290688.01,22370546.22,12576088.76,8733007.96,783364.0,7194432.46,29286893.18,10226489.77,6460633.1,1009225.74,7034471.34,24730819.95,11716429.24,2608983.32,403569.03,5990309.45,20719291.05,12182876.06,5124624.66,499441.94,6591998.6,24398941.25,11634404.53,6908222.09,1052670.08,6682105.04,26277401.74,10455056.13,3188958.94,1881672.63,7929715.8,23455403.5,8675076.66,2829318.22,1385615.1,8759046.8,21649056.78
Sugarcane,..CORDILLERA ADMINISTRATIVE REGION (CAR),10818.73,1323.0,40.0,713.49,12895.22,46855.48,1385.0,1405.0,63.76,49709.24,48973.53,1271.0,1484.74,57.75,51787.03,41243.66,488.0,32.22,52.2,41816.08,24491.29,156.43,9.36,213.31,24870.39,28658.82,148.0,8.89,162.17,28977.88,28941.03,67.39,8.07,171.13,29187.62,22654.63,71.06,8.57,176.15,22910.41,12672.19,9328.79,9.09,177.3,22187.37,17401.84,5645.92,8.93,180.32,23237.01,14915.87,3766.67,9.73,163.55,18855.82
Sugarcane,..REGION I (ILOCOS REGION),16638.91,1552.08,,1129.46,19320.45,16682.82,1575.18,,1055.44,19313.45,16844.77,1615.44,,1052.02,19512.23,16841.52,1666.82,,1063.13,19571.47,16977.63,1717.61,,1109.68,19804.92,16810.58,1721.62,,1057.07,19589.27,16588.83,1750.71,,1053.18,19392.71,16790.85,1780.37,,1052.51,19623.73,16422.55,1906.46,,1068.3,19397.31,14570.62,1941.52,,1077.14,17589.28,14470.32,1909.88,,1039.7,17419.9
Sugarcane,..REGION II (CAGAYAN VALLEY),283316.26,130711.08,38813.66,38648.45,491489.45,299606.44,136401.51,88098.98,44970.44,569077.37,292589.05,141069.96,97605.46,52543.85,583808.31,290251.41,110158.56,108583.3,53008.33,562001.6,165600.09,161655.41,117070.72,13117.93,457444.15,126380.59,158024.92,109777.69,4547.35,398730.55,103041.12,135867.39,106837.33,4437.45,350183.3,111361.18,88010.0,114683.34,5039.45,319093.97,85548.68,144434.9,116486.79,5226.38,351696.75,105270.3,142361.44,116873.29,5256.28,369761.31,118921.39,129802.08,111988.36,5226.05,365937.88
Sugarcane,..REGION III (CENTRAL LUZON),678274.6,878.03,14.0,317803.0,996969.63,585668.48,325.0,15.0,337066.0,923074.48,474890.22,125.15,16.0,203408.0,678439.37,453169.02,38862.66,5.0,228290.65,720327.33,570109.26,11405.5,4.0,255971.58,837490.34,488789.27,44505.15,3.0,237028.76,770326.18,307522.38,165.0,1.5,96019.05,403707.93,375885.57,173.25,1.3,39241.72,415301.84,387854.13,40920.5,1.2,120787.24,549563.07,232661.67,124.63,1.15,125038.12,357825.57,215150.7,135.25,19.48,204212.03,419517.46
Sugarcane,..REGION IV-A (CALABARZON),1316243.5,205918.54,,261823.39,1783985.43,1237437.87,323589.11,,17048.93,1578075.91,1143117.83,452945.94,,145642.4,1741706.17,1141551.0,463027.49,,58966.63,1663545.12,1152531.0,642707.78,,16.29,1795255.07,953514.02,667013.97,,49592.18,1670120.17,1007497.27,101181.97,,23101.0,1131780.24,868327.84,179620.57,,58207.0,1106155.41,781831.99,428953.48,,130062.0,1340847.47,791993.38,130363.0,,203923.0,1126279.38,372461.17,281756.6,25422.0,196278.0,875917.77
Sugarcane,..MIMAROPA REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,..REGION V (BICOL REGION),142601.28,86407.39,18780.2,11522.56,259311.43,168650.55,67647.86,13146.14,9794.39,259238.94,130767.94,83998.02,13470.47,10773.69,239010.12,113865.13,124450.64,14144.01,11635.53,264095.31,93029.59,127510.69,13012.55,12333.7,245886.53,68103.32,129024.29,13726.93,13531.14,224385.68,115795.21,37874.14,13615.76,14613.25,181898.36,84934.28,94131.88,13513.59,12448.88,205028.63,61043.86,91223.77,13380.66,11102.81,176751.1,95239.06,52566.17,13461.63,10922.44,172189.3,82972.67,59323.22,13352.84,11300.0,166948.73
Sugarcane,..REGION VI (WESTERN VISAYAS),5362725.5,1301777.73,1048616.46,6172940.09,13886059.78,5793275.57,1566362.56,1280035.55,5884212.17,14523885.85,5627938.2,1230258.38,743806.05,5818514.39,13420517.02,5741675.97,1925017.55,327743.84,5359970.05,13354407.41,6592825.49,4231092.33,426227.92,5711022.08,16961167.82,5367525.49,3194812.83,847771.03,5284706.67,14694816.02,6055355.62,1435465.85,251982.93,4900122.6,12642927.0,6504025.44,2817783.62,346309.93,5611561.13,15279680.12,6228185.11,3240918.16,893789.21,5421629.83,15784522.31,5310885.11,1251552.43,1738764.7,5915394.66,14216596.9,4397038.73,1336565.58,1213038.9,6239736.76,13186379.96
Sugarcane,..REGION VII (CENTRAL VISAYAS),1117066.0,419876.31,41279.69,476238.0,2054460.0,1315361.71,406516.0,56769.42,493844.0,2272491.13,1310636.46,243157.32,23942.06,366519.0,1944254.84,1260240.55,409343.11,20784.4,210207.02,1900575.08,1310690.0,1098107.72,50339.0,325945.74,2785082.46,1149200.72,854440.74,29468.37,410566.5,2443676.33,1355856.16,348322.0,22815.5,354978.71,2081972.37,1384395.7,584669.61,916.0,400871.41,2370852.72,1277081.85,956008.56,21876.91,354041.75,2609009.07,1243404.57,453937.46,6112.53,555182.68,2258637.24,1057166.12,355413.58,15004.55,738688.73,2166272.98
Sugarcane,..REGION VIII (EASTERN VISAYAS),246418.57,71856.95,11.93,9.24,318296.69,103730.87,162487.01,82414.77,9.76,348642.41,138318.73,6.83,10.81,41026.14,179362.51,188567.85,97530.6,10.91,47302.27,333411.63,217082.06,96972.75,11.03,59095.77,373161.61,173065.26,115798.04,11.15,26275.82,315150.27,197005.54,54090.39,11.4,8.27,251115.59,208289.05,142982.38,15891.2,10.72,367173.34,222332.0,88152.89,11.72,11.04,310507.65,195349.65,70239.74,15.17,18.91,265623.48,198035.98,47426.42,10.47,18.09,245490.96
Sugarcane,..REGION IX (ZAMBOANGA PENINSULA),35.67,92.5,98.43,68.1,294.7,32.1,90.97,98.99,65.77,287.83,11.05,21.21,44.01,30.32,106.6,10.62,19.76,41.68,29.23,101.29,10.39,19.73,39.42,26.63,96.15,10.45,19.36,40.37,26.59,96.78,9.73,17.46,39.68,27.01,93.87,9.7,16.7,38.97,26.66,92.03,10.05,16.68,38.11,25.5,90.34,8.36,15.98,36.89,23.99,85.22,7.7,16.86,30.27,21.23,76.07
Sugarcane,..REGION X (NORTHERN MINDANAO),1808934.72,567082.55,,1120212.48,3496229.75,2080500.0,329177.89,,1031378.0,3441055.89,2001379.0,445868.0,,618216.45,3065463.45,2308833.45,177130.0,,280820.0,2766783.45,1932340.48,1879106.31,169069.0,609098.2,4589613.99,1319880.82,965013.26,,783161.0,3068055.08,1865032.0,388395.15,,491779.85,2745207.0,1881936.7,955681.0,,370075.35,3207693.05,1914822.85,1408749.3,,526325.65,3849897.8,1803449.6,861324.15,,918911.25,3583685.0,1484147.5,516788.6,0.15,1083509.35,3084445.6
Sugarcane,..REGION XI (DAVAO REGION),262269.34,57332.34,51.77,118577.92,438231.37,238423.66,7844.23,41.41,89374.56,335683.86,169874.91,38811.46,35.34,21.45,208743.16,239138.52,31202.91,35.28,20.19,270396.9,145124.09,202937.49,31.74,54629.24,402722.56,203599.62,119660.11,29.81,69357.11,392646.65,237304.41,17842.08,27.61,18.75,255192.85,196461.16,78513.53,27.65,19.2,275021.54,187563.55,113987.43,27.13,18.37,301596.49,192640.42,56555.99,27.25,17.63,249241.3,192288.21,11620.25,26.42,17.82,203952.69
Sugarcane,..REGION XII (SOCCSKSARGEN),394100.97,186214.11,13790.9,140981.47,735087.45,374049.97,160651.3,13440.78,84836.9,632978.95,520627.79,36071.07,13093.23,110590.86,680382.95,389088.73,12364.58,7617.21,28376.8,437447.33,315840.2,241228.88,7543.67,119789.79,684402.54,275374.91,190552.38,8382.43,115295.03,589604.75,369923.2,72611.14,8223.8,84559.02,535317.16,453514.41,143464.0,8046.02,78654.11,683678.54,383448.66,328011.16,7044.54,90848.72,809353.09,380991.42,128329.45,6366.43,157492.69,673179.99,402872.14,64392.38,6706.8,236059.15,710030.47
Sugarcane,..REGION XIII (CARAGA),0.19,0.12,0.16,0.28,0.75,0.16,0.1,0.1,0.11,0.46,0.12,0.09,0.1,0.09,0.4,0.11,0.06,0.09,0.1,0.36,0.13,0.04,0.07,0.11,0.35,0.26,0.28,0.08,1.0,1.62,0.3,0.27,0.27,3.5,4.34,1.18,1.18,0.39,2.37,5.12,0.67,0.37,0.37,0.59,2.0,0.11,0.36,0.36,0.63,1.46,0.13,0.37,1.11,2.95,4.56
Sugarcane,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),41141.3,5483.37,11.8,45572.94,92209.41,40767.0,3961.78,12.25,31623.2,76364.23,70159.93,7314.05,7.0,35862.2,113343.18,23322.96,1790.97,6.05,10945.88,36065.86,39437.07,38389.3,5.52,32062.4,109894.29,55575.63,19898.14,6.0,39162.96,114642.73,56556.46,15332.39,5.18,19416.68,91310.71,74288.37,37725.51,4.97,14611.95,126630.8,75586.38,55609.64,4.34,20779.56,151979.92,71190.01,34000.71,4.29,36276.06,141471.07,124628.03,20400.48,4.03,42773.38,187805.92
Sugarcane for Centrifugal Sugar,PHILIPPINES,11476802.0,2892717.0,1089441.0,8610643.0,24069602.99,12028783.0,2978879.0,1418763.0,7926430.0,24352855.0,11692454.0,2509820.0,766463.0,7294125.0,22262862.0,11977128.0,3263576.0,347642.0,6197321.0,21785667.0,12406870.0,8604820.0,644512.0,7138152.0,28794354.0,10098585.0,6325395.0,876020.0,6987724.0,24287724.0,11598020.0,2440191.0,273669.0,5939348.0,20251228.0,12054517.0,5006146.0,361890.0,6541682.0,23964235.0,11501819.0,6785418.0,914278.0,6632709.0,25834224.0,10322481.0,3063080.0,1743427.0,7874857.0,23003845.0,8542782.0,2706134.0,1251524.0,8707968.0,21208408.0
Sugarcane for Centrifugal Sugar,..CORDILLERA ADMINISTRATIVE REGION (CAR),9815.0,800.0,,,10615.0,25536.0,,,,25536.0,28454.76,,,,28454.76,25617.5,,,,25617.5,16650.01,,,,16650.01,18045.0,,,,18045.0,20636.0,,,,20636.0,21865.0,,,,21865.0,11799.0,9250.0,,,21049.0,16507.0,5563.0,,,22070.0,14056.0,3692.45,,,17748.45
Sugarcane for Centrifugal Sugar,..REGION I (ILOCOS REGION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane for Centrifugal Sugar,..REGION II (CAGAYAN VALLEY),163263.0,36691.0,,,199954.0,131765.0,,,,131765.0,142336.24,16533.0,,,158869.24,158466.5,28510.0,,,186976.5,86903.99,81125.0,,,168028.99,90946.0,71414.0,,,162360.0,76710.0,13505.0,,,90215.0,73246.0,13240.0,,,86486.0,47196.0,62902.0,,,110098.0,66028.0,60311.0,,,126339.0,79656.0,47847.55,,,127503.55
Sugarcane for Centrifugal Sugar,..REGION III (CENTRAL LUZON),673870.0,,,317692.0,991562.0,581982.0,,,336951.0,918933.0,472372.0,,,203288.0,675660.0,450776.0,38738.0,,228178.0,717692.0,569207.0,11232.0,,255863.0,836302.0,487866.0,44330.0,,236919.0,769115.0,306526.0,,,95905.0,402431.0,374911.0,1.0,,39115.0,414027.0,386875.0,40747.0,,120685.0,548307.0,231689.0,,,124949.0,356638.0,214193.0,,,204106.0,418299.0
Sugarcane for Centrifugal Sugar,..REGION IV-A (CALABARZON),1316191.0,205890.0,,261808.0,1783889.0,1237381.0,323560.0,,17034.0,1577975.0,1143018.0,452895.0,,145627.0,1741540.0,1141449.0,462974.0,,58951.0,1663374.0,1152430.0,642656.0,,,1795086.0,953411.0,666961.0,,49571.0,1669943.0,1007420.0,101157.0,,23101.0,1131678.0,868259.0,179416.0,,58207.0,1105882.0,781761.0,428741.0,,130062.0,1340564.0,791887.0,130353.0,,203923.0,1126163.0,372325.0,281748.0,25422.0,196278.0,875773.0
Sugarcane for Centrifugal Sugar,..MIMAROPA REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane for Centrifugal Sugar,..REGION V (BICOL REGION),124926.0,60158.0,,,185084.0,149738.0,40086.0,,,189824.0,112523.0,59388.0,,,171911.0,95144.0,98364.0,,,193508.0,76555.0,103511.0,,,180066.0,50805.0,103105.0,,,153910.0,96601.0,10400.0,,,107001.0,65575.0,67846.0,,,133421.0,42687.0,67158.0,,,109845.0,76346.0,28324.0,,,104670.0,64527.0,34267.0,,,98794.0
