"Geolocation","Type","2013 January","2013 February","2013 March","2013 April","2013 May","2013 June","2013 July","2013 August","2013 September","2013 October","2013 November","2013 December","2013 Annual"
"....Benguet","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Carabao for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Cattle for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Cattle for Slaughter",115.330000,115.370000,123.000000,125.320000,121.550000,123.040000,119.800000,123.670000,122.630000,123.000000,123.180000,123.300000,121.600000
"....Ifugao","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Goat for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Hogs Upgraded for Slaughter",106.510000,107.800000,109.460000,125.790000,122.400000,121.570000,120.000000,114.670000,106.360000,100.000000,102.710000,105.270000,111.880000
"....Ifugao","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Chicken Native/Improved",122.320000,123.400000,128.970000,129.000000,125.230000,127.570000,126.040000,129.560000,124.850000,125.000000,125.270000,125.500000,126.060000
"....Ifugao","Duck for meat",127.120000,127.980000,126.990000,127.570000,133.810000,133.350000,130.920000,133.620000,130.000000,126.000000,127.170000,128.000000,129.380000
"....Ifugao","Chicken egg, other breed",4.430000,4.440000,4.440000,4.450000,4.440000,4.450000,4.440000,4.440000,4.440000,4.450000,4.450000,4.450000,4.440000
"....Ifugao","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ifugao","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Carabao for Slaughter",88.160000,88.760000,88.960000,88.970000,88.590000,87.890000,87.750000,89.530000,89.460000,89.570000,88.720000,89.220000,88.800000
"....Kalinga","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Cattle for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Cattle for Slaughter",95.110000,95.190000,96.140000,96.360000,96.280000,96.400000,96.270000,96.770000,96.580000,95.440000,95.320000,96.420000,96.020000
"....Kalinga","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Goat for Slaughter",93.140000,94.090000,95.400000,97.290000,96.700000,96.780000,95.020000,96.650000,94.730000,94.220000,94.120000,97.130000,95.440000
"....Kalinga","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Hogs Upgraded for Slaughter",94.920000,96.920000,105.550000,114.950000,113.510000,113.660000,108.890000,102.550000,99.160000,102.190000,102.430000,103.670000,104.870000
"....Kalinga","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chicken Native/Improved",133.660000,134.790000,130.070000,130.820000,137.390000,136.950000,133.930000,138.530000,139.070000,140.050000,141.430000,140.310000,136.420000
"....Kalinga","Duck for meat",119.310000,116.440000,114.730000,115.310000,114.880000,113.070000,112.800000,113.210000,117.100000,118.170000,118.860000,118.560000,116.040000
"....Kalinga","Chicken egg, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Kalinga","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Carabao for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Cattle for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Cattle for Slaughter",..,..,113.760000,115.140000,114.540000,..,113.920000,..,..,..,114.040000,114.180000,114.260000
"....Mountain Province","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Goat for Slaughter",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Hogs Upgraded for Slaughter",100.000000,100.000000,101.100000,114.470000,114.660000,118.980000,118.350000,118.130000,116.590000,114.920000,113.340000,114.160000,112.060000
"....Mountain Province","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chicken Native/Improved",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chicken egg, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Mountain Province","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Carabao for Fattening",89.160000,89.240000,89.150000,89.850000,88.860000,89.230000,89.510000,89.800000,88.960000,88.930000,88.640000,88.680000,89.170000
"..REGION I (ILOCOS REGION)","Carabao for Slaughter",97.400000,98.450000,100.880000,100.210000,99.720000,99.200000,99.120000,100.600000,99.450000,100.450000,99.910000,99.610000,99.580000
"..REGION I (ILOCOS REGION)","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Cattle for Fattening",99.750000,99.550000,99.650000,99.830000,99.550000,99.570000,99.710000,99.640000,99.370000,99.420000,100.030000,100.190000,99.690000
"..REGION I (ILOCOS REGION)","Cattle for Slaughter",106.750000,108.740000,110.040000,108.650000,109.290000,108.720000,108.390000,109.060000,109.710000,110.380000,109.510000,111.500000,109.230000
"..REGION I (ILOCOS REGION)","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Goat for Slaughter",122.680000,121.660000,121.880000,123.910000,125.700000,124.920000,126.220000,130.830000,128.340000,129.980000,130.810000,133.880000,126.730000
"..REGION I (ILOCOS REGION)","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Hogs Upgraded for Slaughter",98.350000,104.540000,105.400000,109.660000,109.830000,109.000000,109.510000,103.780000,103.660000,104.460000,105.730000,109.250000,106.100000
"..REGION I (ILOCOS REGION)","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Chicken Native/Improved",141.590000,139.580000,141.930000,144.560000,143.260000,143.900000,144.970000,140.040000,139.740000,135.070000,143.130000,143.970000,141.810000
"..REGION I (ILOCOS REGION)","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Chicken egg, other breed",6.800000,6.400000,6.470000,6.490000,6.600000,6.960000,7.160000,6.360000,6.670000,6.290000,6.660000,6.310000,6.600000
"..REGION I (ILOCOS REGION)","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"..REGION I (ILOCOS REGION)","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Carabao for Fattening",89.160000,89.240000,89.150000,89.850000,88.860000,89.230000,89.510000,89.800000,88.960000,88.930000,88.640000,88.680000,89.170000
"....Ilocos Norte","Carabao for Slaughter",89.040000,89.450000,89.340000,89.500000,88.090000,87.950000,87.850000,87.630000,87.720000,88.060000,87.850000,88.080000,88.380000
"....Ilocos Norte","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Cattle for Fattening",99.750000,99.550000,99.650000,99.830000,99.550000,99.570000,99.710000,99.640000,99.370000,99.420000,100.030000,100.190000,99.690000
"....Ilocos Norte","Cattle for Slaughter",99.430000,99.490000,99.330000,99.740000,99.180000,99.390000,99.530000,99.060000,99.180000,99.380000,99.750000,100.120000,99.470000
"....Ilocos Norte","Cattle for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Cattle for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Goat for Slaughter",122.340000,121.560000,121.050000,122.230000,122.690000,122.800000,122.740000,123.950000,124.540000,123.540000,123.000000,124.050000,122.870000
"....Ilocos Norte","Goat for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Hogs Upgraded for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Hogs Upgraded for Slaughter",96.390000,98.830000,101.630000,112.850000,113.160000,114.600000,110.660000,104.790000,103.110000,101.540000,104.430000,107.820000,105.820000
"....Ilocos Norte","Chicken Broiler, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chicken Fighting Cock",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chicken Layer (culls)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chicken Native/Improved",145.470000,..,147.450000,151.470000,157.370000,160.010000,158.950000,161.060000,158.280000,157.540000,156.260000,159.670000,155.780000
"....Ilocos Norte","Duck for meat",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chicken egg, other breed",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Chicken egg, Native",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Norte","Duck egg",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Carabao for Breeding",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Carabao for Fattening",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Ilocos Sur","Carabao for Slaughter",111.440000,111.550000,112.580000,114.520000,113.660000,114.570000,113.880000,114.860000,113.990000,114.660000,114.720000,115.330000,113.810000
"....Ilocos Sur","Carabao for Work",..,..,..,..,..,..,..,..,..,..,..,..,..
