Geolocation,Commodity,Period,Stocks,Volume,Area Harvested,Self-Sufficiency Ratio,Import-Dependency Ratio,SU Gross Supply,UT Consumable,Farmgate Price,Wholesale Price,Retail Price,CPI All Income,CPI Bottom 30,Net Returns,Inflation Rate,NCR RPI
region iv-a (calabarzon),Rice,2016,2819.688461538462,407124.0,116768.0,95.0,5.0,15332,11133,15.467500000000001,38.3825,37.61833333333333,94.28579560916666,94.26364396833333,10167.0,1.23,110.51666666666667
mimaropa region (mimaropa),Rice,2016,2819.688461538462,1080408.0,287842.0,95.0,5.0,15332,11133,17.419999999999998,37.50833333333333,37.127500000000005,93.34779226583333,93.017019355,16795.0,1.23,110.51666666666667
region v (bicol region),Rice,2016,2819.688461538462,1275492.0,354089.0,95.0,5.0,15332,11133,15.612500000000002,34.5825,37.531666666666666,91.37031238416667,92.4095206225,20757.0,1.23,110.51666666666667
region vi (western visayas),Rice,2016,2819.688461538462,1896230.0,572755.0,95.0,5.0,15332,11133,16.901666666666664,35.75833333333333,39.16583333333333,93.74165048833332,93.51171081250003,18178.0,1.23,110.51666666666667
region vii (central visayas),Rice,2016,2819.688461538462,231982.0,80153.0,95.0,5.0,15332,11133,18.335833333333333,37.119166666666665,42.38916666666666,95.18630632333333,97.38521328416668,9193.0,1.23,110.51666666666667
region viii (eastern visayas),Rice,2016,2819.688461538462,954844.36,268109.7,95.0,5.0,15332,11133,17.456666666666667,38.58583333333333,40.89916666666667,91.24755307333334,92.74824795,23886.0,1.23,110.51666666666667
region ix (zamboanga peninsula),Rice,2016,2819.688461538462,581110.9,155291.0,95.0,5.0,15332,11133,18.305833333333336,39.1475,41.28666666666667,93.83534484416667,93.94202282083334,24995.0,1.23,110.51666666666667
region x (northern mindanao),Rice,2016,2819.688461538462,711284.0,160209.0,95.0,5.0,15332,11133,19.71333333333334,40.37666666666667,40.61,95.45993061833333,94.97891775749997,38657.0,1.23,110.51666666666667
region xi (davao region),Rice,2016,2819.688461538462,417948.0,97789.0,95.0,5.0,15332,11133,19.0325,42.810833333333335,40.15583333333333,94.64831437666665,99.12408301166666,24600.0,1.23,110.51666666666667
region xii (soccsksargen),Rice,2016,2819.688461538462,1200642.0,315690.0,95.0,5.0,15332,11133,18.708333333333332,38.26416666666667,38.189166666666665,92.25679281833332,92.57567193833331,27916.0,1.23,110.51666666666667
region xiii (caraga),Rice,2016,2819.688461538462,462182.0,150076.0,95.0,5.0,15332,11133,17.854166666666668,38.30833333333334,42.24666666666667,93.77015009833332,94.13365155166667,14953.0,1.23,110.51666666666667
