"Geolocation","Description","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2021 Ave"
"....Davao de Oro","Purchasing Power of Peso",0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.91,0.93,0.93,0.92,0.91,0.93
"....Davao Occidental","Purchasing Power of Peso",0.93,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
"....City of Davao","Purchasing Power of Peso",0.95,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.93
"..Region XII (SOCCSKSARGEN)","Purchasing Power of Peso",0.92,0.91,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.89,0.89,0.90
"....Cotabato","Purchasing Power of Peso",0.91,0.90,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89
"....South Cotabato","Purchasing Power of Peso",0.93,0.92,0.91,0.91,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.91
"....Sultan Kudarat","Purchasing Power of Peso",0.93,0.93,0.93,0.92,0.92,0.93,0.92,0.91,0.92,0.92,0.91,0.91,0.92
"....Sarangani","Purchasing Power of Peso",0.90,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.87,0.88
"....City of General Santos","Purchasing Power of Peso",0.94,0.93,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.90,0.89,0.91
"....City of Cotabato","Purchasing Power of Peso",0.89,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.86,0.86,0.88
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)","Purchasing Power of Peso",0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
"....Basilan","Purchasing Power of Peso",0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.87,0.87,0.86
"....Lanao del Sur","Purchasing Power of Peso",0.95,0.94,0.94,0.94,0.94,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.94
"....Maguindanao","Purchasing Power of Peso",0.95,0.95,0.94,0.94,0.94,0.94,0.93,0.93,0.94,0.93,0.93,0.93,0.94
"....Sulu","Purchasing Power of Peso",0.88,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.87
"....Tawi-tawi","Purchasing Power of Peso",0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.86,0.87,0.87,0.88,0.87
"..Region XIII (Caraga)","Purchasing Power of Peso",0.92,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.90,0.90,0.91
"....Agusan del Norte","Purchasing Power of Peso",0.95,0.93,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.92,0.91,0.93
"....Agusan del Sur","Purchasing Power of Peso",0.92,0.90,0.91,0.90,0.90,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.91
"....Surigao del Norte","Purchasing Power of Peso",0.89,0.89,0.89,0.90,0.89,0.90,0.89,0.89,0.89,0.89,0.88,0.87,0.89
"....Surigao del Sur","Purchasing Power of Peso",0.93,0.92,0.92,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.91,0.90,0.92
"....Dinagat Islands","Purchasing Power of Peso",0.89,0.88,0.87,0.87,0.86,0.87,0.87,0.87,0.86,0.86,0.86,0.86,0.87
"....City of Butuan (Capital)","Purchasing Power of Peso",0.94,0.92,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.91,0.90,0.92
